type,lane,startmeasure,startposition,endmeasure,endposition
1,0,6,3,6,3
1,0,6,2,6,2
0,0,6,1,6,1
0,0,6,0,6,0
1,0,9,3,9,3
1,0,9,2,9,2
1,0,9,3,9,3
1,0,9,1,9,1
1,0,11,3,11,3
1,0,11,1,11,1
1,0,13,0,13,0
1,0,13,0,13,0
0,0,13,3,13,3
1,1,0,1,0,1
1,1,0,2,0,2
1,1,0,0,0,0
1,1,0,0,0,0
1,1,2,1,2,1
1,1,2,2,2,2
1,1,2,0,2,0
1,1,2,0,2,0
0,1,3,3,3,3
1,1,5,0,5,0
1,1,5,0,5,0
1,1,7,1,7,1
1,1,7,2,7,2
1,1,8,0,8,0
1,1,8,0,8,0
1,1,8,1,8,1
1,1,8,2,8,2
1,1,10,0,10,0
1,1,10,3,10,3
1,1,10,0,10,0
1,1,10,3,10,3
0,1,10,1,10,1
1,1,13,1,13,1
1,1,13,2,13,2
1,1,13,3,13,3
1,1,13,3,13,3
1,1,15,2,15,2
1,1,15,1,15,1
1,2,1,0,1,0
0,2,1,3,1,3
1,2,1,1,1,1
1,2,4,0,4,0
1,2,4,0,4,0
1,2,4,2,4,2
1,2,4,1,4,1
1,2,6,3,6,3
1,2,6,0,6,0
1,2,6,2,6,2
1,2,6,1,6,1
0,2,7,0,7,0
1,2,7,2,7,2
1,2,7,3,7,3
1,2,7,1,7,1
1,2,7,1,7,1
1,2,9,1,9,1
1,2,9,2,9,2
1,2,9,3,9,3
1,2,9,3,9,3
1,2,11,3,11,3
1,2,11,3,11,3
1,2,11,1,11,1
1,2,11,0,11,0
1,2,12,3,12,3
1,2,12,1,12,1
1,2,12,0,12,0
1,2,12,3,12,3
1,2,14,0,14,0
1,2,14,1,14,1
0,2,14,2,14,2
1,2,14,3,14,3
1,2,14,3,14,3
1,3,1,1,1,1
1,3,1,2,1,2
1,3,1,1,1,1
1,3,1,0,1,0
0,3,5,0,5,0
1,3,5,3,5,3
1,3,5,2,5,2
1,3,5,1,5,1
1,3,5,1,5,1
1,3,7,1,7,1
1,3,7,3,7,3
1,3,8,0,8,0
1,3,8,1,8,1
1,3,10,1,10,1
1,3,10,0,10,0
1,3,10,0,10,0
1,3,10,1,10,1
1,3,11,0,11,0
1,3,11,1,11,1
1,3,11,2,11,2
1,3,11,3,11,3
0,3,11,3,11,3
1,3,15,0,15,0
1,3,15,1,15,1
1,3,15,3,15,3
1,3,15,2,15,2
1,4,2,1,2,1
1,4,2,0,2,0
1,4,2,1,2,1
1,4,2,3,2,3
0,4,2,0,2,0
1,4,5,1,5,1
1,4,5,3,5,3
1,4,5,0,5,0
1,4,7,0,7,0
1,4,7,1,7,1
0,4,9,3,9,3
1,4,9,2,9,2
1,4,9,3,9,3
1,4,9,1,9,1
1,4,10,2,10,2
1,4,10,3,10,3
1,4,12,0,12,0
1,4,14,0,14,0
1,4,14,1,14,1
1,4,15,1,15,1
1,4,15,3,15,3
1,4,15,3,15,3
0,4,15,0,15,0
1,5,3,3,3,3
1,5,3,3,3,3
1,5,3,1,3,1
1,5,4,1,4,1
1,5,4,0,4,0
0,5,6,3,6,3
1,5,6,0,6,0
1,5,6,0,6,0
1,5,8,0,8,0
1,5,8,1,8,1
1,5,9,1,9,1
1,5,9,2,9,2
1,5,11,2,11,2
1,5,11,3,11,3
1,5,13,3,13,3
1,5,13,1,13,1
1,5,13,0,13,0
0,5,13,3,13,3
1,6,0,1,0,1
1,6,0,0,0,0
1,6,0,1,0,1
1,6,0,3,0,3
1,6,2,0,2,0
1,6,2,1,2,1
1,6,2,3,2,3
1,6,2,1,2,1
1,6,3,1,3,1
1,6,3,0,3,0
1,6,3,1,3,1
1,6,3,3,3,3
0,6,3,3,3,3
1,6,7,0,7,0
1,6,7,2,7,2
1,6,7,1,7,1
1,6,7,3,7,3
1,6,8,2,8,2
1,6,8,0,8,0
1,6,10,1,10,1
1,6,10,0,10,0
0,6,10,3,10,3
1,6,13,0,13,0
1,6,13,1,13,1
1,6,13,0,13,0
1,6,15,1,15,1
1,6,15,0,15,0
1,7,1,1,1,1
0,7,1,1,1,1
1,7,1,3,1,3
1,7,1,2,1,2
1,7,4,3,4,3
1,7,4,2,4,2
1,7,4,3,4,3
1,7,4,1,4,1
1,7,6,3,6,3
1,7,6,1,6,1
1,7,7,0,7,0
1,7,7,0,7,0
0,7,7,3,7,3
1,7,11,1,11,1
1,7,11,0,11,0
1,7,11,0,11,0
1,7,11,2,11,2
1,7,12,0,12,0
1,7,12,0,12,0
1,7,12,1,12,1
1,7,12,2,12,2
0,7,14,3,14,3
1,8,0,0,0,0
1,8,0,0,0,0
1,8,1,1,1,1
1,8,1,2,1,2
1,8,3,1,3,1
1,8,3,2,3,2
1,8,3,0,3,0
1,8,3,0,3,0
0,8,5,1,5,1
1,8,5,3,5,3
1,8,5,3,5,3
1,8,5,0,5,0
1,8,5,0,5,0
1,8,8,3,8,3
1,8,8,3,8,3
1,8,8,2,8,2
1,8,8,1,8,1
1,8,10,2,10,2
1,8,10,1,10,1
1,8,11,1,11,1
1,8,11,0,11,0
0,8,11,3,11,3
1,8,15,1,15,1
1,8,15,0,15,0
1,8,15,0,15,0
1,8,15,2,15,2
